file,s1,s2,b1,b2,percDif
Lewis/lewis8221.gcg,297,546,1,4,59.07473309608541
Lewis/1267.gcg,413,389,3,2,5.985037406483791
Lewis/lewis7112.gcg,435,455,3,3,4.49438202247191
Lewis/r334.gcg,410,386,2,3,6.030150753768844
Lewis/lewis4433.gcg,496,362,4,1,31.23543123543124
Lewis/lewis8209.gcg,401,447,2,3,10.849056603773585
Lewis/903.gcg,467,323,3,1,36.45569620253165
Lewis/lewis9117.gcg,462,397,3,2,15.133876600698487
Lewis/lewis6542.gcg,472,385,2,3,20.30338389731622
Lewis/lewis9671.gcg,420,354,2,1,17.05426356589147
Lewis/lewis7884.gcg,377,491,1,5,26.26728110599078
Lewis/1529.gcg,456,368,1,2,21.35922330097087
Lewis/2020.gcg,384,434,2,3,12.224938875305623
Lewis/srs2.gcg,387,368,2,1,5.033112582781457
Lewis/lewis4355.gcg,373,345,2,1,7.7994428969359335
Lewis/busd869.gcg,356,472,1,4,28.019323671497588
Lewis/2034.gcg,418,302,2,0,32.22222222222222
Lewis/lewis4341.gcg,385,478,1,4,21.552723059096177
Lewis/lewis6556.gcg,415,476,2,3,13.692480359147025
Lewis/lewis9665.gcg,482,393,4,1,20.34285714285714
Lewis/srs109.gcg,405,394,2,2,2.753441802252816
Lewis/lewis7890.gcg,458,426,3,1,7.239819004524888
Lewis/lewis7648.gcg,445,375,4,2,17.073170731707318
Lewis/r308.gcg,424,408,2,2,3.8461538461538463
Lewis/917.gcg,453,353,3,2,24.81389578163772
Lewis/lewis9103.gcg,416,315,2,1,27.63337893296854
Lewis/lewis3348.gcg,541,375,4,2,36.24454148471616
Lewis/lewis4427.gcg,337,398,1,2,16.598639455782312
Lewis/busd128.gcg,384,343,2,1,11.279229711141678
Lewis/724.gcg,450,355,2,2,23.60248447204969
Lewis/lewis9856.gcg,412,339,2,2,19.44074567243675
Lewis/lewis8590.gcg,448,406,2,3,9.836065573770492
Lewis/lewis2903.gcg,338,534,1,4,44.95412844036697
Lewis/busd896.gcg,549,422,3,2,26.15859938208033
Lewis/lewis2917.gcg,376,394,1,3,4.675324675324675
Lewis/busd882.gcg,473,382,3,1,21.28654970760234
Lewis/lewis9842.gcg,535,333,5,0,46.54377880184332
Lewis/lewis8584.gcg,409,369,2,1,10.282776349614396
Lewis/730.gcg,298,576,1,4,63.61556064073226
Lewis/718.gcg,498,360,4,2,32.16783216783217
Lewis/busd114.gcg,419,406,2,2,3.151515151515152
Lewis/busd672.gcg,440,425,3,3,3.4682080924855487
Lewis/lewis4396.gcg,392,413,1,3,5.217391304347826
Lewis/lewis6581.gcg,408,410,2,2,0.4889975550122249
Lewis/lewis7847.gcg,471,387,3,2,19.58041958041958
Lewis/lewis6595.gcg,347,505,1,3,37.08920187793427
Lewis/lewis7853.gcg,418,430,2,3,2.8301886792452833
Lewis/busd666.gcg,365,366,2,0,0.27359781121751026
Lewis/lewis4382.gcg,379,414,2,3,8.827238335435057
Lewis/busd100.gcg,467,384,2,2,19.506462984723854
Lewis/1298.gcg,418,472,2,3,12.134831460674157
Lewis/r254.gcg,501,424,4,2,16.64864864864865
Lewis/lewis8341.gcg,457,343,2,1,28.499999999999996
Lewis/693.gcg,408,434,1,3,6.175771971496437
Lewis/1307.gcg,571,384,4,2,39.16230366492147
Lewis/lewis7072.gcg,373,449,2,3,18.491484184914842
Lewis/lewis3214.gcg,372,388,2,3,4.2105263157894735
Lewis/busd921.gcg,368,386,1,2,4.774535809018567
Lewis/lewis3572.gcg,394,437,2,3,10.348977135980746
Lewis/2168.gcg,363,415,2,2,13.367609254498714
Lewis/lewis8427.gcg,443,483,3,4,8.639308855291576
Lewis/1461.gcg,380,404,2,2,6.122448979591836
Lewis/lewis7714.gcg,402,351,2,2,13.545816733067728
Lewis/lewis9739.gcg,384,377,2,2,1.8396846254927726
Lewis/1475.gcg,337,401,1,2,17.344173441734416
Lewis/lewis8433.gcg,527,315,4,1,50.3562945368171
Lewis/lewis7700.gcg,390,349,2,1,11.096075778078484
Lewis/busd935.gcg,552,320,3,1,53.21100917431193
Lewis/lewis3566.gcg,456,366,3,1,21.897810218978105
Lewis/lewis4209.gcg,484,360,3,1,29.383886255924168
Lewis/lewis3200.gcg,329,544,1,4,49.25544100801833
Lewis/lewis6378.gcg,406,478,2,4,16.289592760180994
Lewis/r240.gcg,546,417,5,2,26.791277258566975
Lewis/1313.gcg,470,393,3,2,17.84472769409038
Lewis/687.gcg,498,365,3,2,30.82271147161066
Lewis/lewis8355.gcg,426,416,2,3,2.375296912114014
Lewis/lewis7066.gcg,346,426,1,2,20.72538860103627
Lewis/lewis3228.gcg,434,427,1,3,1.6260162601626018
Lewis/lewis9063.gcg,340,544,2,4,46.15384615384615
Lewis/r268.gcg,468,322,2,1,36.9620253164557
Lewis/877.gcg,408,357,1,2,13.333333333333334
Lewis/37.gcg,453,367,3,2,20.975609756097562
Lewis/lewis7728.gcg,463,325,3,1,35.025380710659896
Lewis/lewis6436.gcg,382,430,2,2,11.822660098522167
Lewis/lewis9705.gcg,438,505,2,3,14.209968186638388
Lewis/lewis2888.gcg,450,353,2,2,24.159402241594023
Lewis/2154.gcg,523,361,4,2,36.65158371040724
Lewis/lewis4221.gcg,392,360,1,1,8.51063829787234
Lewis/busd909.gcg,433,433,2,3,0.0
Lewis/2140.gcg,338,333,2,1,1.4903129657228018
Lewis/lewis4235.gcg,314,491,1,3,43.975155279503106
Lewis/1449.gcg,325,480,1,4,38.50931677018634
Lewis/lewis6422.gcg,359,361,1,1,0.5555555555555556
Lewis/lewis9711.gcg,279,451,0,3,47.12328767123288
Lewis/lewis9077.gcg,399,332,3,1,18.331053351573185
Lewis/863.gcg,388,379,1,1,2.346805736636245
Lewis/23.gcg,471,425,3,2,10.267857142857142
Lewis/lewis8369.gcg,400,479,2,4,17.974971558589306
Lewis/650.gcg,335,470,2,2,33.54037267080746
Lewis/lewis8382.gcg,373,372,1,2,0.2684563758389262
Lewis/888.gcg,489,382,4,2,24.569460390355914
Lewis/r297.gcg,470,437,4,3,7.2767364939360535
Lewis/136.gcg,420,280,2,0,40.0
Lewis/lewis2877.gcg,410,395,3,1,3.7267080745341614
Lewis/lewis2863.gcg,416,460,2,3,10.045662100456621
Lewis/122.gcg,389,452,2,3,14.982164090368608
Lewis/lewis8396.gcg,463,292,3,0,45.29801324503311
Lewis/644.gcg,438,392,3,1,11.08433734939759
Lewis/lewis9088.gcg,338,441,1,3,26.44415917843389
Lewis/r283.gcg,488,401,3,2,19.572553430821145
Lewis/lewis6393.gcg,434,430,2,3,0.9259259259259258
Lewis/2197.gcg,466,345,2,2,29.839704069050555
Lewis/busd706.gcg,348,462,1,3,28.14814814814815
Lewis/lewis7933.gcg,299,502,1,3,50.686641697877654
Lewis/lewis7927.gcg,383,397,0,3,3.5897435897435894
Lewis/lewis3599.gcg,334,407,2,2,19.70310391363023
Lewis/2183.gcg,403,416,2,2,3.1746031746031744
Lewis/busd712.gcg,321,497,1,4,43.03178484107579
Lewis/lewis7099.gcg,455,321,2,1,34.5360824742268
Lewis/678.gcg,456,394,4,1,14.588235294117647
Lewis/lewis6387.gcg,400,319,1,1,22.531293463143253
Lewis/lewis6608.gcg,441,433,3,2,1.8306636155606408
Lewis/srs257.gcg,402,506,1,4,22.90748898678414
Lewis/lewis7516.gcg,478,321,2,2,39.2991239048811
Lewis/1663.gcg,376,447,2,1,17.253948967193196
Lewis/lewis8625.gcg,368,418,1,3,12.72264631043257
Lewis/lewis3770.gcg,429,468,2,3,8.695652173913043
Lewis/lewis3016.gcg,405,319,1,2,23.756906077348066
Lewis/lewis7270.gcg,507,319,4,0,45.52058111380145
Lewis/1105.gcg,414,405,2,3,2.197802197802198
Lewis/491.gcg,407,379,2,2,7.124681933842239
Lewis/lewis8143.gcg,389,521,2,3,29.010989010989015
Lewis/lewis7264.gcg,446,508,3,3,12.997903563941298
Lewis/lewis8157.gcg,357,411,1,3,14.0625
Lewis/485.gcg,466,352,3,2,27.87286063569682
Lewis/1111.gcg,362,461,2,4,24.05832320777643
Lewis/lewis9249.gcg,532,306,4,1,53.93794749403341
Lewis/busd289.gcg,482,315,3,1,41.90715181932246
Lewis/lewis3002.gcg,259,363,0,1,33.440514469453376
Lewis/2418.gcg,436,427,3,2,2.085747392815759
Lewis/lewis3764.gcg,453,363,2,2,22.058823529411764
Lewis/srs243.gcg,300,461,0,3,42.31274638633377
Lewis/lewis7502.gcg,400,482,2,3,18.594104308390023
Lewis/lewis8631.gcg,353,444,1,3,22.835633626097867
Lewis/1677.gcg,466,363,3,1,24.849215922798553
Lewis/lewis4023.gcg,354,477,1,4,29.602888086642597
Lewis/2356.gcg,330,521,0,4,44.888366627497064
Lewis/lewis3994.gcg,432,497,2,3,13.993541442411194
Lewis/lewis9507.gcg,297,416,0,1,33.38008415147265
Lewis/lewis6634.gcg,402,307,3,0,26.79830747531735
Lewis/1887.gcg,423,440,2,3,3.9397450753186556
Lewis/busd1137.gcg,411,431,3,3,4.750593824228028
Lewis/lewis8619.gcg,493,287,3,0,52.820512820512825
Lewis/1139.gcg,428,394,2,2,8.27250608272506
Lewis/lewis9261.gcg,374,422,2,2,12.060301507537687
Lewis/2430.gcg,427,367,3,1,15.113350125944585
Lewis/2424.gcg,316,431,1,3,30.78982597054886
Lewis/lewis7258.gcg,416,308,1,1,29.83425414364641
Lewis/busdUntitled.gcg,385,411,1,3,6.532663316582915
Lewis/lewis9275.gcg,315,442,1,2,33.55350066050198
Lewis/lewis9513.gcg,270,506,0,3,60.824742268041234
Lewis/lewis6620.gcg,396,419,2,3,5.644171779141105
Lewis/1893.gcg,346,441,2,2,24.1423125794155
Lewis/lewis4037.gcg,440,442,2,3,0.45351473922902497
Lewis/2342.gcg,436,401,2,1,8.363201911589007
Lewis/lewis3758.gcg,505,355,4,1,34.883720930232556
Lewis/lewis3980.gcg,356,460,2,2,25.49019607843137
Lewis/busd538.gcg,367,410,2,1,11.068211068211069
Lewis/lewis6813.gcg,334,454,0,4,30.456852791878177
Lewis/334.gcg,404,486,3,4,18.426966292134832
Lewis/srs294.gcg,383,437,1,3,13.170731707317074
Lewis/1878.gcg,517,330,3,1,44.15584415584416
Lewis/lewis8180.gcg,427,453,2,4,5.909090909090909
Lewis/452.gcg,374,333,1,1,11.598302687411598
Lewis/446.gcg,392,314,1,1,22.096317280453256
Lewis/lewis8194.gcg,387,433,1,2,11.219512195121952
Lewis/lewis6807.gcg,457,463,3,2,1.3043478260869565
Lewis/320.gcg,491,431,3,2,13.015184381778742
Lewis/srs280.gcg,407,386,2,1,5.296343001261034
Lewis/308.gcg,487,403,3,2,18.876404494382022
Lewis/r9.gcg,312,448,0,3,35.78947368421053
Lewis/lewis8802.gcg,461,345,2,1,28.78411910669975
Lewis/1844.gcg,359,480,2,3,28.843861740166865
Lewis/busd504.gcg,398,434,2,2,8.653846153846153
Lewis/lewis3957.gcg,326,427,1,2,26.82602921646746
Lewis/2395.gcg,391,482,1,3,20.847651775486828
Lewis/busd262.gcg,332,463,1,3,32.9559748427673
Lewis/busd276.gcg,367,452,1,3,20.757020757020758
Lewis/busd510.gcg,382,390,1,2,2.072538860103627
Lewis/lewis3943.gcg,456,469,3,2,2.810810810810811
Lewis/2381.gcg,379,405,1,2,6.63265306122449
Lewis/1688.gcg,342,419,1,3,20.2365308804205
Lewis/1850.gcg,349,534,1,4,41.90260475651189
Lewis/lewis8816.gcg,364,440,2,3,18.90547263681592
Lewis/busd277.gcg,400,409,2,3,2.2249690976514214
Lewis/1851.gcg,450,440,4,1,2.247191011235955
Lewis/lewis8817.gcg,463,394,2,2,16.102683780630105
Lewis/1689.gcg,362,341,2,1,5.974395448079658
Lewis/2380.gcg,380,398,1,2,4.627249357326478
Lewis/lewis3942.gcg,454,404,2,3,11.655011655011654
Lewis/busd511.gcg,513,328,4,1,43.99524375743163
Lewis/2394.gcg,520,314,4,0,49.40047961630695
Lewis/lewis3956.gcg,295,471,1,3,45.95300261096606
Lewis/busd505.gcg,480,311,3,1,42.7307206068268
Lewis/lewis8803.gcg,424,412,2,3,2.8708133971291865
Lewis/1845.gcg,393,429,1,3,8.75912408759124
Lewis/r8.gcg,405,388,2,1,4.287515762925599
Lewis/309.gcg,398,419,2,2,5.140758873929008
Lewis/busd263.gcg,450,387,3,2,15.053763440860216
Lewis/447.gcg,376,307,1,1,20.20497803806735
Lewis/lewis8195.gcg,380,393,2,2,3.363518758085381
Lewis/srs281.gcg,465,393,2,2,16.783216783216783
Lewis/321.gcg,457,301,2,1,41.16094986807388
Lewis/lewis6806.gcg,388,379,2,2,2.346805736636245
Lewis/1879.gcg,341,367,2,1,7.344632768361582
Lewis/srs295.gcg,366,371,1,1,1.3568521031207599
Lewis/335.gcg,460,414,3,2,10.526315789473683
Lewis/lewis6812.gcg,324,550,1,5,51.7162471395881
Lewis/busd539.gcg,336,502,1,3,39.618138424821005
Lewis/lewis8181.gcg,470,374,3,2,22.748815165876778
Lewis/453.gcg,342,396,1,2,14.634146341463413
Lewis/lewis9274.gcg,417,384,2,2,8.239700374531834
Lewis/lewis7259.gcg,352,393,1,2,11.006711409395974
Lewis/2425.gcg,397,309,2,0,24.929178470254957
Lewis/lewis3981.gcg,410,322,1,1,24.043715846994534
Lewis/lewis3759.gcg,424,336,1,2,23.157894736842106
Lewis/2343.gcg,486,367,3,2,27.90152403282532
Lewis/lewis4036.gcg,388,358,2,1,8.04289544235925
Lewis/1892.gcg,461,398,2,3,14.668218859138532
Lewis/lewis6621.gcg,526,423,2,2,21.707060063224446
Lewis/lewis9512.gcg,461,500,4,2,8.116545265348595
Lewis/lewis8618.gcg,438,428,3,2,2.3094688221709005
Lewis/1886.gcg,535,355,4,1,40.44943820224719
Lewis/lewis6635.gcg,387,391,1,2,1.0282776349614395
Lewis/lewis9506.gcg,479,328,2,2,37.42255266418835
Lewis/lewis3995.gcg,409,473,2,3,14.512471655328799
Lewis/2357.gcg,448,346,3,2,25.692695214105793
Lewis/lewis4022.gcg,388,371,1,2,4.479578392621871
Lewis/2431.gcg,402,424,2,2,5.326876513317192
Lewis/lewis9260.gcg,475,368,3,1,25.38552787663108
Lewis/1138.gcg,349,402,1,3,14.11451398135819
Lewis/2419.gcg,504,437,4,3,14.240170031880977
Lewis/lewis3003.gcg,400,420,1,2,4.878048780487805
Lewis/busd288.gcg,408,416,1,3,1.9417475728155338
Lewis/lewis9248.gcg,385,437,2,2,12.652068126520682
Lewis/lewis8156.gcg,412,473,1,3,13.785310734463277
Lewis/1110.gcg,357,472,2,3,27.744270205066346
Lewis/484.gcg,523,374,4,1,33.22185061315496
Lewis/lewis7265.gcg,428,318,2,1,29.49061662198391
Lewis/lewis8630.gcg,525,363,5,2,36.486486486486484
Lewis/1676.gcg,347,381,2,1,9.340659340659341
Lewis/lewis7503.gcg,440,364,3,1,18.90547263681592
Lewis/srs242.gcg,353,421,1,3,17.571059431524546
Lewis/lewis3765.gcg,337,426,1,3,23.32896461336828
Lewis/lewis3771.gcg,411,364,3,1,12.129032258064516
Lewis/1662.gcg,418,400,2,2,4.400977995110025
Lewis/lewis8624.gcg,427,482,2,3,12.101210121012102
Lewis/lewis7517.gcg,367,366,1,2,0.2728512960436562
Lewis/srs256.gcg,384,466,1,4,19.294117647058822
Lewis/lewis6609.gcg,440,312,1,1,34.04255319148936
Lewis/490.gcg,350,442,1,4,23.232323232323232
Lewis/1104.gcg,404,431,2,3,6.467065868263473
Lewis/lewis8142.gcg,496,286,4,0,53.70843989769821
Lewis/lewis7271.gcg,453,427,3,3,5.909090909090909
Lewis/lewis3017.gcg,431,397,3,2,8.212560386473431
Lewis/busd713.gcg,382,366,1,2,4.27807486631016
Lewis/2182.gcg,310,513,0,4,49.33171324422843
Lewis/lewis3598.gcg,366,382,2,2,4.27807486631016
Lewis/lewis7926.gcg,427,382,2,2,11.124845488257108
Lewis/lewis6386.gcg,372,438,3,2,16.296296296296298
Lewis/679.gcg,558,334,5,2,50.224215246636774
Lewis/lewis7098.gcg,432,369,2,1,15.730337078651685
Lewis/lewis6392.gcg,462,266,2,0,53.84615384615385
Lewis/lewis7932.gcg,500,375,3,3,28.57142857142857
Lewis/busd707.gcg,503,445,3,3,12.236286919831224
Lewis/2196.gcg,345,372,1,1,7.531380753138076
Lewis/123.gcg,478,326,3,1,37.81094527363184
Lewis/lewis2862.gcg,422,351,2,2,18.36998706338939
Lewis/r282.gcg,470,400,3,2,16.091954022988507
Lewis/lewis9089.gcg,362,415,2,2,13.64221364221364
Lewis/lewis8397.gcg,524,380,4,1,31.858407079646017
Lewis/645.gcg,442,481,2,4,8.450704225352112
Lewis/889.gcg,286,490,0,4,52.57731958762887
Lewis/r296.gcg,390,435,2,2,10.909090909090908
Lewis/651.gcg,457,420,2,3,8.437856328392247
Lewis/lewis8383.gcg,362,497,1,4,31.431897555296857
Lewis/lewis2876.gcg,412,377,3,1,8.871989860583017
Lewis/137.gcg,429,457,2,3,6.320541760722348
Lewis/lewis9710.gcg,439,374,2,1,15.990159901599016
Lewis/lewis6423.gcg,329,460,1,4,33.20659062103929
Lewis/1448.gcg,367,463,1,3,23.132530120481928
Lewis/lewis4234.gcg,437,351,2,2,21.82741116751269
Lewis/2141.gcg,396,401,2,1,1.2547051442910917
Lewis/busd908.gcg,378,466,1,4,20.85308056872038
Lewis/lewis8368.gcg,402,419,1,2,4.141291108404385
Lewis/22.gcg,455,402,2,3,12.36872812135356
Lewis/862.gcg,453,381,3,2,17.26618705035971
Lewis/lewis9076.gcg,377,375,2,1,0.5319148936170213
Lewis/36.gcg,402,305,2,1,27.439886845827438
Lewis/r269.gcg,417,396,2,2,5.166051660516605
Lewis/876.gcg,355,357,1,1,0.5617977528089888
Lewis/lewis9062.gcg,506,330,4,1,42.10526315789473
Lewis/lewis3229.gcg,401,491,2,4,20.179372197309416
Lewis/lewis4220.gcg,422,390,3,2,7.8817733990147785
Lewis/2155.gcg,430,353,3,1,19.66794380587484
Lewis/lewis2889.gcg,462,340,2,1,30.423940149625935
Lewis/lewis9704.gcg,389,430,2,3,10.012210012210012
Lewis/lewis6437.gcg,432,426,1,3,1.3986013986013985
Lewis/lewis7729.gcg,441,428,4,2,2.991944764096663
Lewis/lewis4208.gcg,366,461,1,3,22.97460701330109
Lewis/lewis3567.gcg,365,389,1,2,6.36604774535809
Lewis/busd934.gcg,432,442,2,3,2.2883295194508007
Lewis/lewis7701.gcg,390,336,2,1,14.87603305785124
Lewis/1474.gcg,429,440,2,4,2.5316455696202533
Lewis/lewis8432.gcg,338,395,1,2,15.552523874488402
Lewis/lewis7067.gcg,373,388,2,1,3.942181340341656
Lewis/686.gcg,364,365,2,2,0.2743484224965706
Lewis/1312.gcg,455,367,3,2,21.41119221411192
Lewis/lewis8354.gcg,361,418,1,2,14.634146341463413
Lewis/r241.gcg,379,312,1,1,19.39218523878437
Lewis/lewis6379.gcg,445,407,3,2,8.92018779342723
Lewis/lewis3201.gcg,507,358,3,1,34.45086705202312
Lewis/lewis3215.gcg,388,556,2,4,35.59322033898305
Lewis/lewis7073.gcg,412,363,2,1,12.645161290322582
Lewis/lewis8340.gcg,438,377,2,1,14.969325153374232
Lewis/1306.gcg,459,474,3,3,3.215434083601286
Lewis/692.gcg,406,399,2,3,1.7391304347826086
Lewis/r255.gcg,435,440,2,3,1.1428571428571428
Lewis/lewis9738.gcg,501,329,3,1,41.445783132530124
Lewis/lewis7715.gcg,412,411,2,2,0.24301336573511542
Lewis/lewis8426.gcg,392,386,2,2,1.5424164524421593
Lewis/1460.gcg,341,403,1,2,16.666666666666664
Lewis/2169.gcg,378,496,1,2,27.002288329519452
Lewis/lewis3573.gcg,396,426,1,3,7.2992700729927
Lewis/busd920.gcg,402,395,2,2,1.7565872020075282
Lewis/lewis4383.gcg,437,447,3,2,2.262443438914027
Lewis/busd667.gcg,281,468,0,3,49.93324432576769
Lewis/lewis7852.gcg,347,401,1,2,14.43850267379679
Lewis/lewis6594.gcg,345,404,2,1,15.7543391188251
Lewis/1299.gcg,406,260,2,0,43.84384384384384
Lewis/busd101.gcg,430,423,3,3,1.6412661195779603
Lewis/busd115.gcg,388,364,2,1,6.382978723404255
Lewis/719.gcg,280,507,0,3,57.68742058449809
Lewis/lewis7846.gcg,481,359,3,1,29.04761904761905
