file,s1,s2,b1,b2,percDif
Fifty/240.gcg,7850,9050,0,0,14.201183431952662
Fifty/254.gcg,8700,9750,0,2,11.38211382113821
Fifty/268.gcg,11000,8650,1,0,23.918575063613233
Fifty/37.gcg,8250,8000,0,0,3.076923076923077
Fifty/23.gcg,10050,7800,1,0,25.210084033613445
Fifty/136.gcg,9250,9200,1,1,0.5420054200542005
Fifty/122.gcg,9050,9950,1,1,9.473684210526317
Fifty/busdUntitled.gcg,7900,8150,0,0,3.115264797507788
Fifty/123.gcg,10300,8800,0,0,15.706806282722512
Fifty/137.gcg,8700,9150,0,0,5.042016806722689
Fifty/22.gcg,9000,9850,1,1,9.018567639257293
Fifty/36.gcg,6800,9750,0,0,35.64954682779456
Fifty/269.gcg,9200,9050,0,1,1.643835616438356
Fifty/255.gcg,8700,8900,0,0,2.272727272727273
Fifty/241.gcg,8850,9400,0,0,6.027397260273973
Fifty/282.gcg,7700,11050,0,0,35.733333333333334
Fifty/280.gcg,9100,9750,0,1,6.896551724137931
Fifty/257.gcg,9350,8050,0,0,14.942528735632186
Fifty/busdUntitled1.gcg,7400,9900,0,0,28.901734104046245
Fifty/243.gcg,8150,10000,0,1,20.385674931129476
Fifty/20.gcg,9950,7300,0,0,30.72463768115942
Fifty/34.gcg,9650,7050,0,0,31.137724550898206
Fifty/121.gcg,9200,8800,1,0,4.444444444444445
Fifty/135.gcg,9050,8700,0,0,3.943661971830986
Fifty/109.gcg,9500,8700,0,0,8.791208791208792
Fifty/108.gcg,10750,7000,2,0,42.25352112676056
Fifty/134.gcg,9850,8000,1,0,20.72829131652661
Fifty/120.gcg,12100,8300,1,0,37.254901960784316
Fifty/35.gcg,8050,9600,0,0,17.56373937677054
Fifty/21.gcg,7800,10050,0,2,25.210084033613445
Fifty/242.gcg,8100,8900,1,1,9.411764705882353
Fifty/256.gcg,9200,8400,0,0,9.090909090909092
Fifty/281.gcg,9750,9250,1,1,5.263157894736842
Fifty/291.gcg,10100,9100,0,0,10.416666666666668
Fifty/285.gcg,9550,8700,1,0,9.315068493150685
Fifty/252.gcg,9000,10100,0,1,11.518324607329843
Fifty/246.gcg,10150,8400,1,0,18.867924528301888
Fifty/25.gcg,8050,10250,1,0,24.043715846994534
Fifty/31.gcg,9550,8150,0,0,15.819209039548024
Fifty/19.gcg,10600,8200,1,0,25.53191489361702
Fifty/118.gcg,9650,7600,0,0,23.768115942028984
Fifty/124.gcg,10400,7950,2,0,26.70299727520436
Fifty/130.gcg,8850,8100,1,1,8.849557522123893
Fifty/119.gcg,10200,8250,2,0,21.138211382113823
Fifty/18.gcg,8300,9300,1,0,11.363636363636363
Fifty/30.gcg,9150,8750,2,1,4.4692737430167595
Fifty/24.gcg,10750,8500,1,0,23.376623376623375
Fifty/busd!9.gcg,9800,7850,0,0,22.096317280453256
Fifty/247.gcg,11100,7150,0,1,43.28767123287671
Fifty/253.gcg,7950,8950,0,0,11.834319526627219
Fifty/284.gcg,9000,9950,0,0,10.026385224274406
Fifty/290.gcg,9900,9050,0,0,8.970976253298153
Fifty/286.gcg,8850,8100,0,1,8.849557522123893
Fifty/292.gcg,8550,10750,0,2,22.797927461139896
Fifty/279.gcg,7650,11450,0,2,39.79057591623037
Fifty/245.gcg,10200,9000,0,0,12.5
Fifty/251.gcg,10100,8400,1,0,18.37837837837838
