filename,score_1,score_2,bingo_1,bingo_2,percent_dif
fifty36.gcg,6800,9750,0,0,35.64954682779456
fifty207.gcg,10200,8900,0,1,13.612565445026178
fifty213.gcg,8250,10300,0,1,22.10242587601078
fifty212.gcg,7950,8150,1,0,2.484472049689441
fifty206.gcg,7650,10900,0,1,35.04043126684636
fifty37.gcg,8250,8000,0,0,3.076923076923077
fifty164.gcg,8850,8950,0,0,1.1235955056179776
fifty23.gcg,10050,7800,1,0,25.210084033613445
fifty170.gcg,8250,9350,0,1,12.5
fifty158.gcg,8100,9400,0,0,14.857142857142858
fifty166.gcg,9200,8500,2,0,7.909604519774012
fifty35.gcg,8050,9600,0,0,17.56373937677054
fifty172.gcg,9750,8650,0,1,11.956521739130435
fifty21.gcg,7800,10050,0,2,25.210084033613445
fifty199.gcg,8150,9050,0,2,10.465116279069768
fifty238.gcg,8150,10000,0,1,20.385674931129476
fifty210.gcg,10950,7450,0,0,38.04347826086957
fifty204.gcg,10850,7350,0,0,38.46153846153847
fifty205.gcg,8800,9550,1,1,8.174386920980927
fifty211.gcg,10250,6650,2,0,42.60355029585799
fifty239.gcg,7900,9850,0,0,21.971830985915496
fifty198.gcg,8850,8450,0,0,4.624277456647398
fifty20.gcg,9950,7300,0,0,30.72463768115942
fifty173.gcg,8250,8150,0,0,1.2195121951219512
fifty34.gcg,9650,7050,0,0,31.137724550898206
fifty167.gcg,10750,7600,1,0,34.332425068119896
fifty142.gcg,10300,9850,0,1,4.466501240694789
fifty11.gcg,8350,10550,0,1,23.28042328042328
fifty156.gcg,8700,8250,0,0,5.3097345132743365
fifty39.gcg,7750,10550,1,0,30.601092896174865
fifty181.gcg,9600,9400,0,0,2.1052631578947367
fifty195.gcg,8600,9050,0,0,5.099150141643059
fifty234.gcg,10150,8650,0,0,15.957446808510639
fifty220.gcg,9900,7450,0,0,28.24207492795389
fifty208.gcg,8450,8800,0,0,4.057971014492753
fifty209.gcg,9200,9200,2,0,0.0
fifty221.gcg,9550,8750,0,0,8.743169398907105
fifty235.gcg,7850,9050,0,0,14.201183431952662
fifty194.gcg,8900,8400,1,0,5.780346820809249
fifty180.gcg,9700,9250,0,0,4.749340369393139
fifty38.gcg,8000,7150,0,0,11.221122112211221
fifty157.gcg,7700,8750,0,1,12.76595744680851
fifty10.gcg,10200,8250,1,1,21.138211382113823
fifty143.gcg,8700,8300,0,0,4.705882352941177
fifty155.gcg,8150,9300,1,0,13.18051575931232
fifty141.gcg,9350,8000,2,1,15.561959654178676
fifty12.gcg,9200,8700,0,0,5.58659217877095
fifty169.gcg,8800,8950,0,0,1.6901408450704223
fifty196.gcg,8600,9350,0,2,8.356545961002785
fifty182.gcg,10200,8200,0,0,21.73913043478261
fifty223.gcg,10350,9350,2,1,10.152284263959391
fifty237.gcg,8100,8900,1,1,9.411764705882353
fifty236.gcg,8850,9400,0,0,6.027397260273973
fifty222.gcg,9450,9500,1,1,0.5277044854881267
fifty183.gcg,7850,8400,0,0,6.769230769230769
fifty197.gcg,9000,8200,0,0,9.30232558139535
fifty168.gcg,8750,9700,0,0,10.29810298102981
fifty13.gcg,9400,8850,0,0,6.027397260273973
fifty140.gcg,9200,8850,2,0,3.8781163434903045
fifty154.gcg,7950,10200,0,0,24.793388429752067
fifty178.gcg,8450,8450,0,0,0.0
fifty150.gcg,9450,8550,0,0,10.0
fifty144.gcg,8800,8300,0,0,5.847953216374268
fifty17.gcg,8800,8200,0,1,7.0588235294117645
fifty193.gcg,8200,8650,0,1,5.341246290801187
fifty187.gcg,10450,7650,1,0,30.939226519337016
fifty226.gcg,8950,8300,0,0,7.536231884057972
fifty232.gcg,9500,9300,1,0,2.127659574468085
fifty233.gcg,8100,9100,1,0,11.627906976744185
fifty227.gcg,8950,8200,1,0,8.746355685131196
fifty186.gcg,10000,8050,1,0,21.60664819944598
