file,s1,s2,b1,b2,percDif
random411.gcg,794,473,3,1,50.67087608524072
random405.gcg,547,585,0,0,6.713780918727916
random363.gcg,591,735,1,3,21.71945701357466
random86.gcg,534,610,0,1,13.286713286713287
random1147.gcg,653,602,1,2,8.127490039840637
random439.gcg,453,928,0,3,68.79073135409124
random438.gcg,596,638,1,1,6.807131280388978
random404.gcg,790,519,3,0,41.40565317035905
random1146.gcg,602,569,0,1,5.636208368915456
random87.gcg,658,675,1,3,2.550637659414854
random362.gcg,764,560,1,1,30.815709969788518
random93.gcg,638,747,0,1,15.740072202166063
random376.gcg,670,594,2,0,12.025316455696203
random1152.gcg,640,702,0,3,9.239940387481372
random410.gcg,696,561,0,0,21.479713603818613
random78.gcg,575,589,0,1,2.405498281786942
random389.gcg,859,449,3,0,62.69113149847095
random44.gcg,557,765,1,2,31.46747352496218
random1185.gcg,581,711,0,3,20.123839009287924
random1191.gcg,612,670,0,3,9.048361934477379
random50.gcg,626,659,1,3,5.136186770428015
random1378.gcg,593,637,1,1,7.154471544715448
random148.gcg,666,661,1,0,0.7535795026375283
random160.gcg,659,649,2,2,1.529051987767584
random1344.gcg,681,597,2,1,13.145539906103288
random1422.gcg,622,584,1,1,6.301824212271974
random606.gcg,699,618,2,1,12.300683371298406
random612.gcg,536,600,0,2,11.267605633802818
random1436.gcg,880,521,4,0,51.24910778015703
random1350.gcg,652,691,1,1,5.807892777364111
random174.gcg,621,758,1,2,19.86947063089195
random821.gcg,536,616,0,1,13.88888888888889
random835.gcg,628,577,2,0,8.464730290456432
random1387.gcg,660,483,2,0,30.971128608923888
random809.gcg,657,554,0,1,17.010734929810074
random1393.gcg,695,499,1,0,32.83082077051927
random996.gcg,666,615,2,0,7.962529274004685
random982.gcg,576,661,1,0,13.7429264349232
random1218.gcg,628,504,2,1,21.908127208480565
random1230.gcg,641,661,2,1,3.0721966205837172
random772.gcg,600,564,1,1,6.185567010309279
random766.gcg,612,539,2,0,12.68462206776716
random1224.gcg,643,600,1,1,6.918744971842317
random955.gcg,800,484,2,0,49.22118380062305
random941.gcg,631,707,1,1,11.360239162929746
random799.gcg,563,694,0,3,20.84327764518695
random969.gcg,555,641,1,0,14.381270903010032
random558.gcg,576,788,0,4,31.085043988269796
random570.gcg,589,681,0,1,14.488188976377952
random1032.gcg,723,648,2,1,10.940919037199125
random216.gcg,783,491,3,0,45.839874411302986
random202.gcg,661,686,1,1,3.711952487008166
random1026.gcg,666,519,1,1,24.81012658227848
random564.gcg,637,539,1,2,16.666666666666664
random548.gcg,646,671,1,1,3.7965072133637054
random560.gcg,687,618,3,2,10.574712643678161
random1022.gcg,604,533,1,1,12.48900615655233
random206.gcg,597,730,1,2,20.04521477015825
random212.gcg,708,619,2,1,13.413715146948002
random1036.gcg,727,580,2,1,22.49426166794185
random574.gcg,618,522,1,1,16.842105263157894
random945.gcg,718,574,1,2,22.291021671826623
random789.gcg,678,567,1,1,17.83132530120482
random951.gcg,716,624,1,1,13.73134328358209
random9.gcg,663,629,0,1,5.263157894736842
random979.gcg,586,709,1,1,18.996138996138995
random986.gcg,707,536,3,0,27.514078841512468
random992.gcg,529,638,1,1,18.68037703513282
random1208.gcg,580,532,1,1,8.633093525179856
random1220.gcg,627,600,0,1,4.400977995110025
random762.gcg,661,607,1,2,8.517350157728707
random776.gcg,598,582,0,2,2.711864406779661
random1234.gcg,635,547,1,0,14.890016920473773
random831.gcg,630,572,2,0,9.650582362728786
random825.gcg,626,687,1,0,9.291698400609292
random1397.gcg,555,708,1,2,24.228028503562946
random819.gcg,688,555,0,0,21.399839098954143
random1383.gcg,701,672,2,2,4.224326292789512
random1368.gcg,629,748,2,3,17.28395061728395
random158.gcg,723,428,1,0,51.25977410947002
random170.gcg,645,591,2,2,8.737864077669903
random1354.gcg,548,648,1,1,16.722408026755854
random1432.gcg,620,675,1,0,8.494208494208493
random616.gcg,559,632,1,0,12.258606213266162
random602.gcg,590,692,2,2,15.912636505460217
random1426.gcg,581,682,0,1,15.993665874901028
